epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,456.102,0.63659,1.24734,3.5628,0.99733,0.43745,0.38713,0.33736,0.30965,0.4337,0.38458,0.33302,0.2978,0.42061,0.89851,2.4352,0.9031,6.84444e-05,6.84444e-05,6.84444e-05
2,911.542,0.5684,0.98198,1.92815,0.94792,0.59646,0.54518,0.56586,0.51856,0.58578,0.53999,0.5601,0.50421,0.43278,0.88125,1.69271,0.90893,0.00013505,0.00013505,0.00013505
3,1342.39,0.54399,0.92871,1.45929,0.94007,0.68312,0.5865,0.66322,0.61121,0.67971,0.58537,0.66045,0.59833,0.42976,0.84939,1.29424,0.90661,0.00019891,0.00019891,0.00019891
4,1785.65,0.51979,0.86205,1.21501,0.91967,0.71019,0.71809,0.72797,0.67859,0.7108,0.71987,0.72805,0.66166,0.41868,0.81074,1.08465,0.89419,0.000195645,0.000195645,0.000195645
5,2693.53,0.52247,0.86372,1.11515,0.92687,0.7255,0.71805,0.73867,0.68825,0.72527,0.71803,0.73825,0.67529,0.4249,0.80929,1.05123,0.89972,0.000191526,0.000191526,0.000191526
6,3066.85,0.51311,0.81755,1.00631,0.91715,0.74285,0.77836,0.77809,0.72501,0.74273,0.77823,0.77761,0.70358,0.41469,0.85741,0.94979,0.88935,0.000187408,0.000187408,0.000187408
7,3424.67,0.49573,0.79646,0.95152,0.90544,0.75362,0.75991,0.78318,0.72856,0.7527,0.75886,0.78206,0.71298,0.41254,0.83951,0.90771,0.89068,0.00018329,0.00018329,0.00018329
8,3795.78,0.47625,0.74251,0.8385,0.89467,0.74626,0.78841,0.8182,0.76148,0.74549,0.78759,0.81751,0.7476,0.41357,0.8202,0.86541,0.89118,0.000179171,0.000179171,0.000179171
9,4227,0.47977,0.7347,0.81754,0.89369,0.83201,0.77874,0.81405,0.75634,0.83328,0.78008,0.81217,0.7383,0.41087,0.87757,0.82855,0.88931,0.000175053,0.000175053,0.000175053
10,4677.23,0.46866,0.73332,0.75376,0.89405,0.82011,0.80064,0.82188,0.77136,0.81773,0.7981,0.82088,0.74612,0.39649,0.80263,0.75575,0.87418,0.000170934,0.000170934,0.000170934
11,5038.56,0.45558,0.69957,0.71797,0.88248,0.76187,0.77667,0.81518,0.76145,0.76118,0.77656,0.81489,0.7412,0.40331,0.83234,0.80027,0.8832,0.000166816,0.000166816,0.000166816
12,5399.05,0.44491,0.69413,0.694,0.88758,0.84964,0.79607,0.83346,0.78134,0.85,0.79588,0.83313,0.76218,0.39195,0.81555,0.6972,0.87872,0.000162698,0.000162698,0.000162698
13,5830.81,0.44697,0.71586,0.68563,0.88772,0.78227,0.78777,0.82642,0.77199,0.78331,0.78751,0.82629,0.75069,0.40194,0.84803,0.78978,0.88669,0.000158579,0.000158579,0.000158579
14,6175.5,0.44231,0.6845,0.66063,0.87527,0.77124,0.78478,0.82359,0.77535,0.77136,0.78544,0.82395,0.75756,0.3932,0.80577,0.69658,0.87974,0.000154461,0.000154461,0.000154461
15,6524.86,0.42566,0.66092,0.63593,0.87416,0.75871,0.82111,0.83334,0.78085,0.75982,0.82095,0.83448,0.76177,0.39812,0.84362,0.69636,0.87538,0.000150342,0.000150342,0.000150342
16,6886.66,0.43312,0.6529,0.62077,0.87297,0.81133,0.80692,0.83118,0.78359,0.81254,0.80785,0.83137,0.76202,0.38209,0.79721,0.71591,0.87555,0.000146224,0.000146224,0.000146224
17,7336.04,0.41441,0.61404,0.5886,0.87188,0.81149,0.8101,0.84824,0.80103,0.81567,0.80307,0.84863,0.77754,0.38346,0.8432,0.64713,0.87686,0.000142106,0.000142106,0.000142106
18,7698.49,0.42156,0.64656,0.57551,0.86845,0.79824,0.83614,0.83878,0.79122,0.79968,0.83755,0.84017,0.77234,0.38453,0.83802,0.64412,0.8857,0.000137987,0.000137987,0.000137987
19,8071.34,0.40783,0.60411,0.54006,0.86762,0.88185,0.80172,0.84367,0.79439,0.88254,0.80235,0.84384,0.76951,0.38241,0.83627,0.63177,0.87589,0.000133869,0.000133869,0.000133869
20,8456.44,0.4179,0.63679,0.55889,0.86429,0.82558,0.81805,0.84357,0.79266,0.82548,0.81791,0.84314,0.77027,0.37695,0.82641,0.62552,0.87782,0.00012975,0.00012975,0.00012975
21,8812.32,0.41024,0.61938,0.53559,0.86682,0.81688,0.81757,0.83548,0.78476,0.81622,0.81699,0.83455,0.76191,0.3853,0.8458,0.65622,0.88258,0.000125632,0.000125632,0.000125632
22,9188.18,0.40869,0.62124,0.52272,0.8643,0.78295,0.81125,0.82363,0.77896,0.78271,0.81118,0.82387,0.76204,0.37087,0.85549,0.62445,0.87786,0.000121514,0.000121514,0.000121514
23,9535.59,0.39835,0.6086,0.53478,0.86405,0.78574,0.81523,0.82868,0.78402,0.78557,0.81483,0.82887,0.76657,0.37137,0.82074,0.64611,0.87282,0.000117395,0.000117395,0.000117395
24,9892.29,0.37708,0.56555,0.48246,0.85373,0.81451,0.79418,0.83999,0.79502,0.81477,0.79452,0.84044,0.77421,0.37447,0.82997,0.63852,0.87525,0.000113277,0.000113277,0.000113277
25,10332.9,0.40117,0.60451,0.50099,0.86427,0.79962,0.80404,0.83863,0.79171,0.79823,0.80146,0.8381,0.77239,0.37145,0.8066,0.6393,0.8765,0.000109158,0.000109158,0.000109158
26,10699.3,0.3736,0.55207,0.46844,0.84895,0.79934,0.83196,0.84479,0.79565,0.79824,0.83239,0.84401,0.77829,0.38391,0.82742,0.61373,0.88446,0.00010504,0.00010504,0.00010504
27,11017.2,0.3916,0.5989,0.49175,0.86404,0.81728,0.80248,0.83606,0.78731,0.81718,0.80151,0.83532,0.76373,0.37286,0.86082,0.61445,0.87792,0.000100922,0.000100922,0.000100922
